Sample,RMSE,MAE,DELTA1
62381,0.012609520759751709,0.002179148228755695,0.9999603629112244
55450,0.02015823403948549,0.004983177726159252,0.9998921751976013
34656,0.04537754767335856,0.018279755062558585,0.9993237257003784
13862,0.09185518520923101,0.047808067105745713,0.9965152144432068
6931,0.12676249878550078,0.07014457324826465,0.9927800297737122
3466,0.16244225922457037,0.09228401577069584,0.9876071810722351
1386,0.20959234166933288,0.12090123387616344,0.979015052318573
693,0.24745079229922992,0.1435756989679117,0.9710578918457031
347,0.28605450101153007,0.16773085957453054,0.9621323943138123
139,0.34136751283346356,0.20665285138543837,0.9452898502349854
249523,0.0,0.0,1.0
221798,0.0,0.0,1.0
138624,0.0,0.0,1.0
55450,0.0184983449546967,0.004593375793642075,0.9999144673347473
27725,0.05310464802776401,0.02376568554615197,0.9990503191947937
13862,0.08693543552701925,0.04565523182915346,0.9969742298126221
5545,0.1323670551563487,0.0752125623445128,0.9921632409095764
2772,0.16710302050078368,0.09762135073705089,0.9869712591171265
1386,0.20219096670245387,0.12014222904846118,0.9804075360298157
554,0.2509125660488834,0.15224280980108765,0.9692878723144531

